id,year,decade,dimensions,medium,provenance,title,url,country,creditline,designer,designer_id,designer_url,designer_gender,image_b,image_s,css4_colors,color,area,y
18481263,1969.0,1960.0,80.5 × 50 cm (31 11/16 × 19 11/16 in.),lithograph on wove paper,"Museum of Graphic Art, New York, NY; 1973: acquired by Museum","June Wayne, Cincinnati Art Museum",https://collection.cooperhewitt.org/objects/18481263/,United States,"Gift of the Museum of Graphic Art, New York",,,,,https://images.collection.cooperhewitt.org/82287_accabcc2cb169485_b.jpg,https://images.collection.cooperhewitt.org/82287_accabcc2cb169485_sq.jpg,"['#2f4f4f', '#d2b48c', '#808080']",#2f4f4f,4025.0,2
18497999,1966.0,1960.0,"Metal Frame: 72.1 x 56.8 x 2.5 cm (28 3/8 x 22 3/8 x 1 in.)
Overall: 61.6 x 34.3 cm (24 1/4 x 13 1/2 in.)",offset lithograph on white wove paper,Mr. and Mrs. Leslie J. Schreyer; 1979: acquired by Museum,The Sound,https://collection.cooperhewitt.org/objects/18497999/,United States,Gift of Mr. and Mrs. Leslie J. Schreyer,,,,,https://images.collection.cooperhewitt.org/82713_29b655ede58c5754_b.jpg,https://images.collection.cooperhewitt.org/82713_29b655ede58c5754_sq.jpg,"['#cd853f', '#eee8aa', '#9acd32', '#483d8b', '#cd853f']",#cd853f,4095.2799999999993,1
18498029,1968.0,1960.0,50.8 x 35.7 cm (20 in. x 14 1/16 in.),offset lithograph on white wove paper,Mr. and Mrs. Leslie J. Schreyer; 1979: acquired by Museum,Young Bloods,https://collection.cooperhewitt.org/objects/18498029/,United States,Gift of Mr. and Mrs. Leslie J. Schreyer,,,,,https://images.collection.cooperhewitt.org/82674_360111cef9a3c530_b.jpg,https://images.collection.cooperhewitt.org/82674_360111cef9a3c530_sq.jpg,"['#d2691e', '#708090', '#bdb76b', '#a9a9a9', '#483d8b']",#d2691e,1813.56,1
18498039,1967.0,1960.0,H x W: 58.4 × 36 cm (23 in. × 14 3/16 in.),offset lithograph on white wove paper,Mr. and Mrs. Leslie J. Schreyer; 1979: acquired by Museum,Jim Kweskin / Jug Band,https://collection.cooperhewitt.org/objects/18498039/,United States,Gift of Mr. and Mrs. Leslie J. Schreyer,,,,,https://images.collection.cooperhewitt.org/82644_4db9d81852ab31fc_b.jpg,https://images.collection.cooperhewitt.org/82644_4db9d81852ab31fc_sq.jpg,"['#228b22', '#ffd700', '#00ced1', '#1e90ff', '#6b8e23']",#228b22,2102.4,2
18498103,1978.0,1970.0,91.4 x 61 cm (36 x 24 in.),screenprint on paper,Milton Glaser; 1979: acquired by Museum,Newport Jazz Festival,https://collection.cooperhewitt.org/objects/18498103/,United States,Gift of Milton Glaser,,,,,https://images.collection.cooperhewitt.org/92487_63f56611ffa884a6_b.jpg,https://images.collection.cooperhewitt.org/92487_63f56611ffa884a6_sq.jpg,"['#add8e6', '#a0522d', '#2e8b57', '#b22222', '#483d8b']",#add8e6,5575.400000000001,1
18498111,1978.0,1970.0,H x W x D: 91.6 × 58.7 cm (36 1/16 × 23 1/8 in.),offset lithograph on paper,Milton Glaser; 1979: acquired by Museum,Tomato: Something Unusual Is Going on Here,https://collection.cooperhewitt.org/objects/18498111/,United States,Gift of Milton Glaser,,,,,https://images.collection.cooperhewitt.org/90753_ca3d3395e9824b74_b.jpg,https://images.collection.cooperhewitt.org/90753_ca3d3395e9824b74_sq.jpg,"['#2f4f4f', '#556b2f', '#a0522d', '#2f4f4f', '#556b2f']",#2f4f4f,5376.92,2
18504909,1979.0,1970.0,80.9 x 57.8 cm (31 7/8 x 22 3/4 in.),lithograph on paper,1980: acquired by Museum,Rudolph Grüttner. Monat Der Museen - April 1979,https://collection.cooperhewitt.org/objects/18504909/,Germany,Gift of Unknown Donor,Rudolph Grüttner,18535629,https://collection.cooperhewitt.org/people/18535629/,Boy,https://images.collection.cooperhewitt.org/82289_3295ed8d64073770_b.jpg,https://images.collection.cooperhewitt.org/82289_3295ed8d64073770_sq.jpg,"['#2f4f4f', '#696969', '#808080', '#d2b48c', '#cd5c5c']",#2f4f4f,4676.02,1
18504959,1973.0,1970.0,151.8 x 101.7 cm (59 3/4 x 40 1/16 in.),screenprint on paper,1980: acquired by Museum,New York State Award 1973,https://collection.cooperhewitt.org/objects/18504959/,United States,Gift of Unknown Donor,David Diao,68263727,https://collection.cooperhewitt.org/people/68263727/,Boy,https://images.collection.cooperhewitt.org/88912_150c7074d3e1c11b_b.jpg,https://images.collection.cooperhewitt.org/88912_150c7074d3e1c11b_sq.jpg,"['#483d8b', '#daa520', '#2f4f4f', '#2f4f4f', '#808080']",#483d8b,15438.060000000001,1
18504993,1939.0,1930.0,104.1 × 68.6 cm (41 × 27 in.),lithograph on wove paper,None,"Railroads on Parade, New York World's Fair",https://collection.cooperhewitt.org/objects/18504993/,United States,Gift of Unknown Donor,Leslie Ragan,2318795327,https://collection.cooperhewitt.org/people/2318795327/,Girl,https://images.collection.cooperhewitt.org/99481_c893bd70d13adac7_b.jpg,https://images.collection.cooperhewitt.org/99481_c893bd70d13adac7_sq.jpg,"['#2f4f4f', '#c0c0c0', '#d2691e', '#d2691e', '#556b2f']",#2f4f4f,7141.259999999999,3
